layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
precincts,001,Alamance,872a8baf2ffffff,,,,89.196742,89.196742,0.0,,,,,,,133.672253,133.672253,0.0,,,,222.868995,222.868995,0.0,,,,,,
precincts,001,Alamance,872a8baf3ffffff,,,,37.694409,37.694409,0.0,,,,,,,56.489692,56.489692,0.0,,,,94.184101,94.184101,0.0,,,,,,
precincts,001,Alamance,872a8baf6ffffff,,,,60.455172,60.455172,0.0,,,,,,,90.599486,90.599486,0.0,,,,151.054658,151.054658,0.0,,,,,,
precincts,001,Alamance,872a8bb80ffffff,,,,42.979686,42.979686,0.0,,,,,,,42.6908,42.6908,0.0,,,,85.670486,85.670486,0.0,,,,,,
precincts,001,Alamance,872a8bb81ffffff,,,,5.774319,5.774319,0.0,,,,,,,5.735508,5.735508,0.0,,,,11.509827,11.509827,0.0,,,,,,
precincts,001,Alamance,872a8bb82ffffff,,,,54.85015,54.85015,0.0,,,,,,,54.481478,54.481478,0.0,,,,109.331629,109.331629,0.0,,,,,,
precincts,001,Alamance,872a8bb83ffffff,,,,54.829616,54.829616,0.0,,,,,,,54.461083,54.461083,0.0,,,,109.290699,109.290699,0.0,,,,,,
precincts,001,Alamance,872a8bb84ffffff,,,,17.455419,17.455419,0.0,,,,,,,17.338094,17.338094,0.0,,,,34.793513,34.793513,0.0,,,,,,
precincts,001,Alamance,872a8bb86ffffff,,,,54.874538,54.874538,0.0,,,,,,,54.505702,54.505702,0.0,,,,109.38024,109.38024,0.0,,,,,,
precincts,001,Alamance,872a8bb8affffff,,,,257.118491,257.118491,0.0,,,,,,,355.260173,355.260173,0.0,,,,612.378664,612.378664,0.0,,,,,,
precincts,001,Alamance,872a8bb8bffffff,,,,81.572361,81.572361,0.0,,,,,,,112.70839,112.70839,0.0,,,,194.280751,194.280751,0.0,,,,,,
precincts,001,Alamance,872a8bb8effffff,,,,78.190656,78.190656,0.0,,,,,,,101.350031,101.350031,0.0,,,,179.540687,179.540687,0.0,,,,,,
precincts,001,Alamance,872a8bb90ffffff,,,,54.866783,54.866783,0.0,,,,,,,54.498,54.498,0.0,,,,109.364783,109.364783,0.0,,,,,,
precincts,001,Alamance,872a8bb91ffffff,,,,54.846275,54.846275,0.0,,,,,,,54.47763,54.47763,0.0,,,,109.323905,109.323905,0.0,,,,,,
precincts,001,Alamance,872a8bb92ffffff,,,,43.876238,43.876238,0.0,,,,,,,65.502936,65.502936,0.0,,,,109.379174,109.379174,0.0,,,,,,
precincts,001,Alamance,872a8bb93ffffff,,,,54.842377,54.842377,0.0,,,,,,,54.473758,54.473758,0.0,,,,109.316134,109.316134,0.0,,,,,,
precincts,001,Alamance,872a8bb94ffffff,,,,54.891183,54.891183,0.0,,,,,,,54.522236,54.522236,0.0,,,,109.413419,109.413419,0.0,,,,,,
precincts,001,Alamance,872a8bb95ffffff,,,,54.870672,-1284.129328,1339.0,,,,,,,54.501863,-1275.498137,1330.0,,,,109.372535,-2559.627465,2669.0,,,,,,
precincts,001,Alamance,872a8bb96ffffff,,,,54.874581,54.874581,0.0,,,,,,,54.531083,54.531083,0.0,,,,109.405663,109.405663,0.0,,,,,,
precincts,001,Alamance,872a8bb98ffffff,,,,136.839447,136.839447,0.0,,,,,,,122.877583,122.877583,0.0,,,,259.71703,259.71703,0.0,,,,,,
